Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),0.072000,Auto
Start Frequency,+1.030000000e+09
Stop Frequency,+1.780000000e+09
Offset Frequency,+0.000000000e+00
Average Type,Log Pwr
RBW,1000000.000000,Auto
VBW,1000000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Auto
Sweep Rule,Speed
PreAmp State,ON
Ref Level,-4.000000000e+01
Attenuation,2,Manual
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
External Trigger Edge,FALL
Video Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C
Trace Type,View,View,View
Trace Detector,Pos Peak,Pos Peak,Pos Peak
Trace Data
1.284000e+09,-9.917444e+01,-9.284085e+01,-8.096932e+01
1.285000e+09,-9.925893e+01,-9.319416e+01,-8.110910e+01
1.286000e+09,-9.924228e+01,-9.285878e+01,-8.096213e+01
1.287000e+09,-9.904445e+01,-9.340317e+01,-8.073319e+01
1.288000e+09,-9.908351e+01,-9.295080e+01,-8.076917e+01
1.289000e+09,-9.923243e+01,-9.326755e+01,-8.027316e+01
1.290000e+09,-9.919634e+01,-9.304858e+01,-8.031314e+01
1.291000e+09,-9.936058e+01,-9.303631e+01,-8.001885e+01
1.292000e+09,-9.915690e+01,-9.303337e+01,-8.005319e+01
1.293000e+09,-9.936627e+01,-9.294553e+01,-8.040341e+01
1.294000e+09,-9.915654e+01,-9.306395e+01,-8.013943e+01
1.295000e+09,-9.922179e+01,-9.301330e+01,-8.034662e+01
1.296000e+09,-9.935581e+01,-9.314428e+01,-7.997263e+01
1.297000e+09,-9.912010e+01,-9.309957e+01,-8.032756e+01
1.298000e+09,-9.906920e+01,-9.329847e+01,-8.043603e+01
1.299000e+09,-9.920992e+01,-9.320077e+01,-8.049500e+01
1.300000e+09,-9.924364e+01,-9.322874e+01,-8.022501e+01
