Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),0.258000,Auto
Start Frequency,+1.155000000e+09
Stop Frequency,+1.655000000e+09
Offset Frequency,+0.000000000e+00
Average Type,Log Pwr
RBW,1000000.000000,Manual
VBW,30000.000000,Manual
Sweep Type,Continuous
Sweep Mode,Auto
Sweep Rule,Speed
PreAmp State,ON
Ref Level,-4.000000000e+01
Attenuation,0,Manual
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
External Trigger Edge,FALL
Video Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
1.421000e+09,-7.325684e+01,-7.204102e+01
1.421667e+09,-7.347168e+01,-7.297363e+01
1.422333e+09,-7.368652e+01,-7.288574e+01
1.423000e+09,-7.370117e+01,-7.336914e+01
1.423667e+09,-7.390625e+01,-7.335449e+01
1.424333e+09,-7.376465e+01,-7.302246e+01
1.425000e+09,-7.375977e+01,-7.325684e+01
1.425667e+09,-7.365723e+01,-7.320312e+01
1.426333e+09,-7.409668e+01,-7.309570e+01
1.427000e+09,-7.365723e+01,-7.315918e+01
1.427667e+09,-7.391113e+01,-7.340820e+01
1.428333e+09,-7.422363e+01,-7.376465e+01
1.429000e+09,-7.426758e+01,-7.369629e+01
1.429667e+09,-7.422363e+01,-7.369141e+01
1.430333e+09,-7.432129e+01,-7.391113e+01
1.431000e+09,-7.429688e+01,-7.397461e+01
1.431667e+09,-7.453613e+01,-7.404785e+01
1.432333e+09,-7.464355e+01,-7.394531e+01
1.433000e+09,-7.467285e+01,-7.416504e+01
1.433667e+09,-7.457520e+01,-7.373535e+01
1.434333e+09,-7.470703e+01,-7.404785e+01
1.435000e+09,-7.469238e+01,-7.371094e+01
1.435667e+09,-7.489746e+01,-7.379395e+01
1.436333e+09,-7.473145e+01,-7.410645e+01
1.437000e+09,-7.473145e+01,-7.386230e+01
1.437667e+09,-7.475586e+01,-7.425781e+01
1.438333e+09,-7.488281e+01,-7.412598e+01
1.439000e+09,-7.485352e+01,-7.439453e+01
1.439667e+09,-7.467773e+01,-7.411621e+01
1.440333e+09,-7.487793e+01,-7.448242e+01
1.441000e+09,-7.496094e+01,-7.449219e+01
1.441667e+09,-7.489746e+01,-7.440918e+01
1.442333e+09,-7.529785e+01,-7.452637e+01
1.443000e+09,-7.536621e+01,-7.464844e+01
1.443667e+09,-7.516602e+01,-7.420898e+01
1.444333e+09,-7.513184e+01,-7.467773e+01
1.445000e+09,-7.519043e+01,-7.454590e+01
1.445667e+09,-7.519531e+01,-7.446777e+01
1.446333e+09,-7.496582e+01,-7.466797e+01
1.447000e+09,-7.506348e+01,-7.460449e+01
1.447667e+09,-7.506836e+01,-7.403809e+01
1.448333e+09,-7.480469e+01,-7.428711e+01
1.449000e+09,-7.481934e+01,-7.425781e+01
1.449667e+09,-7.487305e+01,-7.419922e+01
1.450333e+09,-7.470703e+01,-7.437012e+01
1.451000e+09,-7.524414e+01,-7.449219e+01
1.451667e+09,-7.500977e+01,-7.425293e+01
1.452333e+09,-7.481445e+01,-7.470215e+01
1.453000e+09,-7.501465e+01,-7.435059e+01
1.453667e+09,-7.521484e+01,-7.423828e+01
1.454333e+09,-7.512207e+01,-7.450195e+01
